Unnamed: 0,zip_code,city_1,2015,2017,2019,city_2
3722,93550,Lake Los Angeles Palmdale,37669,39279,65728,Palmdale
3728,93551,City Ranch Leona Valley Palmdale,84486,87628,51630,Palmdale
2958,91402,Los Angeles (Panorama City),37190,41669,104802,Panorama City
2469,91101,Pasadena,61180,64223,71231,Pasadena
3374,91766,Pomona (Phillips Ranch),49895,54163,62153,Pomona
3401,91767,Pomona,50551,54157,56002,Pomona
3681,93536,Del Sur Fairmont Lancaster Metler Valley Neenach Quartz Hill,70195,72634,43913,Quartz Hill
1693,90275,Palos Verdes Estates Rancho Palos Verdes Rolling Hills Estates,118790,124384,169919,Rancho Palos Verdes
2735,91335,Los Angeles (Reseda),51206,55580,57398,Reseda
3435,91770,Rosemead,46729,51383,86201,Rosemead
3299,91748,City of Industry Rowland Heights,58502,64983,89360,Rowland Heights
3449,91773,San Dimas,77742,81020,86415,San Dimas
2747,91340,San Fernando Los Angeles (Mission Hills Pacoima),54182,54703,74050,San Fernando
3480,91775,San Gabriel,75876,81250,58658,San Gabriel
2246,90732,Los Angeles (San Pedro) Rancho Palos Verdes,84679,89440,68947,San Pedro
2946,91387,Santa Clarita (Canyon Country) Fair Oaks Ranch Mint Canyon,82745,87346,120617,Santa Clarita
2040,90670,Santa Fe Springs,54674,66509,67765,Santa Fe Springs
1777,90401,Santa Monica (Downtown),62703,71154,80165,Santa Monica
1831,90405,Santa Monica (Ocean Park Santa Monica Airport Sunpark),77948,88445,78542,Santa Monica
2827,91350,Bouquet Canyon Green Valley Mint Canyon Santa Clarita (Canyon County),100387,103837,81758,Saugus
2973,91403,Los Angeles (Sherman Oaks Van Nuys),80890,89552,47037,Sherman Oaks
3201,91733,El Monte South El Monte,39379,42758,85590,South El Monte
1703,90280,South Gate,43552,47281,116783,South Gate
3070,91604,Los Angeles (North Hollywood Studio City),90801,99745,50623,Studio City
2782,91342,Los Angeles (Lake View Terrace Sylmar) Kagel Canyon,60361,68600,66661,Sylmar
2904,91356,Los Angeles (Tarzana),68078,71654,119303,Tarzana
3497,91780,Temple City,63410,67910,101841,Temple City
1841,90501,Torrance,61536,64995,95674,Torrance
2874,91354,Santa Clarita (Valencia),112524,120560,95696,Valencia
3105,91607,Los Angeles (North Hollywood Sherman Village Valley Glen Valley Village),53531,60772,68852,Valley Village
3025,91406,Los Angeles (Lake Balboa Van Nuys),49835,51564,58605,Van Nuys
1768,90291,Los Angeles (Venice),80111,88078,129772,Venice
1168,90058,Los Angeles (Southeast Los Angeles) Vernon,17018,16425,21964,Vernon
3509,91789,City of Industry Diamond Bar Walnut,93301,95081,82128,Walnut
1702,90280,South Gate,43552,47281,116783,Walnut Park
3522,91790,West Covina,70888,74965,84530,West Covina
1074,90046,Los Angeles (Hollywood) West Hollywood,57941,65990,72266,West Hollywood
1111,90048,Los Angeles (Mid-City West) West Hollywood,78940,85396,100586,West Hollywood
1228,90069,Los Angeles (Hollywood Melrose) West Hollywood,78979,86403,93380,West Hollywood
730,90025,Los Angeles (Sawtelle West Los Angeles),71183,78713,87280,West Los Angeles
1034,90045,Los Angeles (Los Angeles International Airport Westchester),75684,90399,104578,Westchester
678,90024,Los Angeles (Westwood),57202,59418,65855,Westwood
1903,90601,City of Industry Whittier,71366,69740,99764,Whittier
1904,90603,Whittier,88862,95354,55216,Whittier
1930,90604,East La Mirada South Whittier Whittier,65295,66974,103535,Whittier
1941,90605,South Whittier Whittier,65952,66963,74944,Whittier
2933,91364,Los Angeles (Woodland Hills),92830,100323,96085,Woodland Hills
